Sl no.,AX ID,Workshop Names,Location,Country,Agent,Corporate Type
348,AX1758530666782,PISTON AUTO CARE,Solapur,India,Sashikala,General
349,AX1753422321804,AKANKSHA SERVICE STATION,Moradabad,India,Aniketh,General
350,AX1745386547961,SHREE BALAJI SALES & SERVICES,Bilaspur,India,Veeresh,General
351,AX1773989562954,BANGALORE AUTO GARAGE,Kolar,India,Basava,General
352,AX1753695334654,KAPRO SERVICES,Anand,India,Aniketh,General
353,AX1764829800732,BHARATH CAR TECH,Shivamogga District,India,Basava,General
354,AX1779779204238,BASAVA & BASAVA (B&B) MOTORS,LINGASUGUR,India,Veeresh,General
355,AX1758518041732,S S CARS,Trichy,India,Unnimaya,General
356,AX1762766603198,EXPRESS CAR CARE,Udumalpet,India,Unnimaya,General
357,AX1758016453144,UNIQUE MOTORS,Ahmednagar,India,Aniketh,General
358,AX1779082991164,SAMRUDDHI CAR CARE,Bengaluru,India,Veeresh,General
359,AX1779775029603,MARVEL AUTOMOTIVES,Hyderabad,India,Rakesh,General
360,AX1762164381531,FRIENDS AUTOWORKS,TRIVANDRUM,India,Unnimaya,General
361,AX1759218036073,JAGADEESHWARI MOTORS,"Tirupur,",India,Unnimaya,General
362,AX1764307971183,MOTORHOOD,Chennai,India,Unnimaya,General
363,AX1762924627667,GREEN CARZ CARE,West-Godavar,India,Rakesh,General
364,AX1758887816917,UNITED AUTO,Haridwar,India,Aniketh,General
365,AX1753435212634,MMA MOTORS,Thoothukudi,India,Unnimaya,General
366,AX1769752050825,KKB CAR CARE UNIT-2,Bangalore,India,Veeresh,General
367,AX1779277999719,PRAVEEN MOTORS,Villupuram,India,Unnimaya,General
368,AX1751002980183,SRI VENKATESHWARA SAI MOTORS,"Hyderabad,",India,Rakesh,General
369,AX1759753183504,SINGHVI AUTOMOBILE AND ENGINEERS PRIVATE LIMITED,UDAIPUR,India,Veeresh,General
370,AX1760523568677,WHEELS INDIA,WAYANAD,India,Unnimaya,General
371,AX1762511894934,CHOUDHARY AUTOMOBILES,Kashipur,India,Aniketh,General
372,AX1757505559015,LALO MOTORS CARE,Ahmedabad,India,Veeresh,General
373,AX1756100600412,ZUNJARE MOTORS,Latur,India,Sashikala,General
374,AX1778046123081,HIGHWAY CAR AUTO,Chembur(E). Mumbai,India,Sashikala,General
375,AX1756715851308,AARUPADAI MURUGAN MOTORS,Puducherry,India,Unnimaya,General
376,AX1768286591416,ROGER MOTORS PVT LTD,Rajkot,India,Veeresh,BOSCH
377,AX1733127359292,UNIQUE AUTOMOBILES MAH PVT LTD,Kolhapur,India,Sashikala,General
378,AX1757139502185,SHREE SATYAM TYRES & WHEEL ALIGNMENT.,Maharashtra,India,Sashikala,General
379,AX1760505044465,LAKSHMI AUTOMOTIVES,Visakhapatnam,India,Rakesh,General
380,AX1757336073374,CITY CAR CLUB,Uttar Pradesh,India,Aniketh,General
381,AX1636953337831,NIGERIA,Ikeja,Nigeria,Sigod,General
382,AX1770267930371,ASIAN AUTOMOBILES,Thrissur,India,Unnimaya,General
383,AX1757506535717,SRIRAM WHEEL ALIGNMENT,Kundapura,India,Basava,General
384,AX1763123058241,KRUSHNA AUTOMOBILES,Nashik,India,Sashikala,General
385,AX1757505732443,UNIBOX MOTOR TECH PRIVATE LIMITED,New Delhi,India,Rakesh,General
386,AX1758801334643,PERFECT CAR SERVICE,Maharashtra,India,Sashikala,General
387,AX1767089400629,FORZA AUTOMOTIVES,Bangalore,India,Basava,General
388,AX1665042369014,EVOLUTION MOTORS,DARESSALAAM,Saudi Arabia,Afrah/Shajan,General
389,AX1769239765194,SAI AUTOMOBILES,Noida,India,Aniketh,General
390,AX1767700158827,AMBITION AUTOMOTIVES PVT.LTD,Jaipur,India,Veeresh,General
391,AX1766387149636,LUXURY RIDE DEHRADUN NJN EXPRESS WHEELS PVT. LTD,Uttarakhand,India,Aniketh,General
392,AX1773405000522,SMOOTH YOUR DRIVE,Delhi,India,Rakesh,General
393,AX1724908466158,SLV CARS,Karnataka,India,Sashikala,General
394,AX1765886959417,MOTOR CARE,Al Amarat,Oman,Afrah/Shajan,General
395,AX1766398791869,PREM SAI MOTOR,"Hyderabad, Rangareddy",India,Rakesh,General
396,AX1758708433454,WIN AUTOMOBILES,Navi Mumbai,India,Sashikala,General
397,AX1757577003807,AV MOTORS,Delhi,India,Rakesh,General
398,AX1721210863242,BOTSWANA,Botswana,Botswana,Afrah/Shajan,General
399,AX1763536455267,CIRCUITS99 AUTOMOTIVE OPC PVT LTD,Chennai,India,Unnimaya,General
400,AX1701069003883,SERVICE CITY,Kozhikode,India,Unnimaya,General
401,AX1762769270292,S K MOTORS..,Solapur,India,Sashikala,General
402,AX1768826406671,RAJ MOTORS.,Chhattisgarh,India,Sashikala,General
403,AX1761202801143,SAGAR AUTOMOBILES MULTI CAR SERVICE CENTRE,Pune,India,Sashikala,General
404,AX1764053509585,SAI ANAND MOTORS,Mancheswar,India,Aniketh,General
405,AX1758966229145,UNITED AUTOTECH,Mumbai,India,Sashikala,General
406,AX1778051101533,CHRYJEEP MOTORS,Harare,Zimbabwe,Afrah/Shajan,General
407,AX1733287923826,S K CAR CARE,Karaikal,India,Unnimaya,General
408,AX1767699305947,KHANDELWAL AUTOMOTORS PVT LTD,Akola,India,Sashikala,General
409,AX1771492083762,CAR X AUTO CARE,Meerut,India,Aniketh,General
410,AX1749534536236,S R AUTOMOBILE,Muzaffarpur,India,Aniketh,General
411,AX1736413571877,B-CITY CAR CARE LLP,Bellary,India,Sashikala,General
412,AX1759817648006,SHARVARI MOTORS,Maharashtra,India,Sashikala,General
413,AX1768826123693,EESHIKA AUTOMOBILES,Vijayawada,India,Rakesh,General
414,AX1765948690230,7TH GEAR AUTOMOTIVE VIJAYAWADA,Vijayawada,India,Rakesh,General
415,AX1765443943493,R.K. MOTORS,Hyderabad,India,Rakesh,General
416,AX1750073218339,A P MOTORS,Khammam,India,Rakesh,General
417,AX1770715950885,EZYMERC,Zimbabwe,Zimbabwe,Sigod,General
418,AX1763443056618,SUKOVE AUTOMOTIVE,Bengaluru,India,Basava,General
419,AX1774863498664,DE CAR SPA,Mira Road,India,Sashikala,General
420,AX1766990955530,DUSTIN MOTORS,Telangana,India,Rakesh,General
421,AX1765457294412,SHREE NATH AUTO PARTS (INDIA),GAUTAM BUDH NAGAR,India,Aniketh,General
422,AX1761886637362,BHANDARI MOTORS,Chamberkhind,India,Sashikala,General
423,AX1769661586831,EXPRESS WHEELS AUTO SERVICES,Pune,India,Sashikala,General
424,AX1760607278993,SMS AUTOMOBILES,Bangalore,India,Sashikala,General
425,AX1764667914515,LUXURY AUTO PARTS,DEHRADUN,India,Kavya,General
426,AX1777528722607,PITSPOT AUTOMOTIVE SERVICES LLC,Muscat,Oman,Sigod,General
427,AX1777527060900,AL-PHATION AUTO MULTI BRAND SERVICE CENTER,Bengaluru,India,Basava,General
428,AX1765449124319,MGF MOTORS LIMITED,Ernakulam,India,Unnimaya,General
429,AX1765449077336,MGF MOTORS LIMITED,Aluva,India,Unnimaya,General
430,AX1747906392863,FORTUNE MOTORS,Karad,India,Sashikala,General
431,AX1770009179590,SRIRAM WHEEL ALIGNMENT,Karkala,India,Sashikala,General
432,AX1752833457150,SHREEM AUTOMOBILES,Gurugram,India,Danya,General
433,AX1775710168829,SHREE HARI MOTORS,"Mehsana,",India,Veeresh,General
434,AX1774249731779,VENKATESWARA SUBHASH MOTORS,Not Found,India,Rakesh,General
435,AX1772428868018,R R MOTORS,Gwalior,India,Aniketh,General
436,AX1766061116840,SP ENTERPRISES,"Mohali,",India,Veeresh,General
437,AX1737091422159,AMBITH MOTORS,Gorakhpur,India,Aniketh,General
438,AX1774332371522,PRANAV AUTOMOTIVE,Bangalore,India,basava,BOSCH
439,AX1767084712211,UNIVERSAL CAR CARE,"Mirjihadipura, Mau",India,Aniketh,General
440,AX1772084944420,RAMPUR AUTOMOTIVES,Bagalkot,India,Veeresh,General
441,AX1765443761471,RAMA KRISHNA MOTORS,"Hyderabad,",India,Rakesh,General
442,AX1766402274995,UNITED AUTOMOTIVE LLP,Mumbai,India,Sashikala,General
443,AX1778836598041,AUTO DYNASTY GLOBAL SERVICES PVT LTD,Gurgaon,India,Danya,General
444,AX1718775553635,HOPE ENTERPRISES,Vijayapura,India,Basava,General
445,AX1773999535157,XBM AUTOMOTIVE,"Kozhikode,",India,Unnimaya,General
446,AX1779857915932,MOTOR EXPERTS,Dehradun,India,Aniketh,General
447,AX1778935108009,SHREE OM MARUTI AUTOMOTIVE CAR POINT,Nanded,India,Sashikala,General
448,AX1780317785949,PREM SAI MOTOR,NANDYAL,India,Rakesh,General
449,AX1764321548242,KAR98,Haryana,India,Danya,General
450,AX1744631713221,ROYAL MOTORS,Bilaspur,India,Sashikala,General
451,AX1778648248944,GENIUS MOTORS,Mysore,India,Basava,General
452,AX1769603715498,GRAND AUTOMOTIVE SERVICE CENTRE,Raigad,India,Sashikala,General
453,AX1729764987454,PUSHPAK MOTORS,"Telangana,",India,Rakesh,General
454,AX1776246325337,S H CAR CARE,Mumbai,India,Sashikala,General
455,AX1777027320021,VARANGA AUTOMOTIVE SERVICES,Sakkottai,India,Unnimaya,General
456,AX1780294269395,SLG MOTORS,Visakhapatnam,India,Rakesh,General
457,AX1750222015779,AUTO PARK,Trivandrum,India,Unnimaya,General
458,AX1729764872085,AUTOZONE,Dist.Kheda,India,Veeresh,General
459,AX1752036653916,MY CAR,"Bengaluru,",India,Veeresh,General
460,AX1776146935808,VIDHATHA WHEEL ALIGNMENT,Guntur,India,Rakesh,General
461,AX1721105641802,THE GARAGE,Pune,India,Sashikala,General
462,AX1729144289844,AARADHYA MOTORS,BELAGAVI,India,Basava,General
463,AX1778149421841,CARTECH,GUWAHATI,India,Veeresh,General
464,AX1727251404208,SHRINATH MOTORS,Indore,India,Aniketh,General
465,AX1761910228695,TUNE UP CAR CARE,SIDDIPET,India,Rakesh,General
466,AX1759299588564,PERFECT MOTORS,Chennai,India,Unnimaya,General
467,AX1751863023080,SWASTIKAA MOTORS,"Bengalore,",India,Veeresh,General
468,AX1774682623907,BM PERFORMANCE AUTO (M) SDN BHD.,Petaling Jaya,Malaysia,Sigod,General
469,AX1764404597150,CLEANSE AND SHINE AUTOMOTIVES,Bangalore,India,Sashikala,General
470,AX1722922809740,GUPTA AUTOMOBILE & SERVICE CENTER,Gwalior,India,Aniketh,General
471,AX1720068282272,TRANS WERKE,Erode,India,Unnimaya,General
472,AX1761199408108,SAI BALAJI AUTOMOTIVES,Bangalore,India,Basava,General
473,AX1779786082724,THE AUTO MAN LIMITED,Mombasa,Kenya,Sigod,General
474,AX1759827668036,SURYA MOTORS,BODHAN,India,Rakesh,General
475,AX1721113278058,DEVRAJ CAR CLINIC,Nashik,India,Sashikala,General
476,AX1767866188839,HI-TECH AUTOMOBILE AND EQUIPMENT SOLUTIONS LTD,KAMPALA CITY,Uganda,Sigod,General
477,AX1779191113394,SABITRI AUTOMOBILE ( MAHINDRA FIRST CHOICE ANY CAR SERVICE),Canning,India,Aniketh,General
478,AX1754283874763,DRIVE EXPRESS BODY SHOP,PERINTHALMANNA,India,Unnimaya,General
479,AX1756964611538,FATE AUTO SECURITY PRIVATE LIMITED,GURUGRAM,India,Danya,General
480,AX1776403622310,ROLLING WHEELZ AUTOMOBILES (P) LTD,Delhi,India,Veeresh,General
481,AX1756454174482,SMS ENTERPRISES,Bangalore,India,Basava,General
482,AX1730099896668,SV AUTOCARS,Hyderabad,India,Rakesh,General
483,AX1753169585608,SURYA MOTORS,Hyderabad,India,Rakesh,General
484,AX1721105397178,SREE MOTORS,Hyderabad,India,Rakesh,General
485,AX1755498171150,VELOCITY AUTO WORKS,Gujarat,India,Veeresh,General
486,AX1767787177808,RK BIG TOY AUTOMOTIVE PRIVATE LIMITED,Delhi,India,Rakesh,General
487,AX1700458659126,MR. SERVICE AUTO REPAIR WORKSHOP,Kigali,Rwanda,Afrah/Shajan,General
488,AX1760095983783,GARAGE 29,ALAPPUZHA,India,Unnimaya,General
489,AX1759903553035,CLASSIC MOTORS,Bangalore,India,Sashikala,General
490,AX1762414600144,SAEYON BODY AND PAINT SHOP,Tiruppur,India,Unnimaya,General
491,AX1726221436108,S L N AUTO CARE,Belgaum,India,Basava,General
492,AX1765777521731,PRABHA MOTORS,Varanasi,India,Aniketh,General
493,AX1755670299543,J.K. MOTORS,Bengaluru,India,Veeresh,General
494,AX1761199192155,CHILOKA MOTORS,Mandya,India,Basava,General
495,AX1763617667179,R S AUTO SPARES,Pune,India,Sashikala,General
496,AX1758783248451,PRATIK AUTOMOBILES PVT. LTD. (A UNIT OF MYTVS-GREEN SERVICES FOR CAR),Hazaribagh,India,Veeresh,General
497,AX1765260074136,CLUSTER AUTOMOTIVES,Jaipur,India,Veeresh,General
498,AX1759837622614,TECHNIKA AUTOMOTIVE SERVICES,Delhi,India,Rakesh,General
499,AX1758517176467,NARPAVI AUTOMOTIVES,CHENNAI,India,Unnimaya,General
500,AX1764064906349,TAMIL MOTORS,Karur,India,Unnimaya,General
501,AX1757419054434,RITHWIK MOTORS,Chennai,India,Unnimaya,General
502,AX1759227451975,EVOLUTION GROUP HOLDINGS LIMITED,Tanzania,Tanzania,Sigod,General
503,AX1769062250570,AUTO HQ LLP,"RANGAREDDY DISTRICT,",India,Rakesh,General
504,AX1759123289145,SUNSHINE CARS,Ahmedabad,India,Veeresh,General
505,AX1758708664147,EXPRESS CAR CLINIC,Pune,India,Sashikala,General
506,AX1732880219906,VIGNESWARA F1 AUTO GARAGE,Prakasam,India,Rakesh,General
507,AX1756875872143,SAI MOTORS,Bengaluru,India,Basava,General
508,AX1759926105639,FAITHFUL QUALITY SERVICES,Chennai,India,Unnimaya,General
509,AX1758102761935,FOUR TECH AUTO INDUSTRIES PVT LTD,Pune,India,Sashikala,General
510,AX1760693845444,ROLLING RIGHT SERVICES,Mangalore,India,Basava,General
511,AX1770897408039,6TH GEAR AUTO HUB PVT LTD,Bangalore,India,Basava,General
512,AX1758603702143,CLASSIC GERMAN AUTO SERVICES,Al Wukair,Qatar,Sigod,General
513,AX1731579907505,SREE MOTORS,Hyderabad,India,Sashikala,General
514,AX1761727341020,AUTO CAR CARE,Gujarat,India,Veeresh,General
515,AX1750223087647,GEAR AUTOMOBILE WORKSHOP,"Raigad,",India,Sashikala,General
516,AX1758603879244,RAVI AUTOMOBILE SERVICES,Mumbai,India,Sashikala,General
517,AX1730706581646,CAR TECH CARE,Pune,India,Sashikala,General
518,AX1736744074017,RATHI MOTORS,Aligarh,India,Aniketh,General
519,AX1636533613093,AUTOROX GARAGE,Hyderabad,India,Sashikala,General
520,AX1769772339410,KHARI MOTORS,Uttar Pradesh,India,Aniketh,General
521,AX1779187840475,KEERTHI MOTORS,Bangalore,India,Veeresh,General
522,AX1762752790493,AUTOBUG PRIVATE LIMITED,Mumbai,India,Sashikala,General
523,AX1763706796139,SAI AUTOCARE,Bhuneshwar,India,Aniketh,General
524,AX1772175016171,R.S MOTORS,Pratapgarh,India,Veeresh,General
525,AX1779087403049,MOTROX AUTO REPAIRING LLC,Al Quoz 1 Dubai,United Arab Emirates,Afrah/Shajan,General
526,AX1775119111094,CAR ZONE,ALAPPUZHA-,India,Unnimaya,General
527,AX1764046795557,SRI SMART AUTOMOBILES,Visakhapatnam,India,Sashikala,General
528,AX1767157078759,HYBRID AUTO PRO,Calicut,India,Unnimaya,General
529,AX1765781423110,S.A. YOUNIK CAR STUDIO,Gajwel,India,Sashikala,General
530,AX1780144750224,TRUELINE HIGHTECH BODY TUNES,MALAPPURAM,India,Unnimaya,General
531,AX1770960757927,SHIV CAR CARE,Ahmedabad,India,Veeresh,General
532,AX1771568841357,SHINE CARS,Bengaluru,India,Veeresh,General
533,AX1774329435458,RLS MOTORS,Medchal,India,Sashikala,General
534,AX1767156208711,4-D CAR CARE,BHAINSA,India,Sashikala,General
535,AX1772345931968,SHARANYA AUTOMOTIVE SERVICE,Hyderabad,India,Sashikala,General
536,AX1780303353959,SHREE JI MOTORS,"Hodal Palwal,",India,Danya,General
537,AX1764050919846,YASH MOTORS,Nana Varachha,India,Veeresh,General
538,AX1774853083870,ONE TOUCH AUTOMOTIVE,Akola,India,Sashikala,General
539,AX1756204468003,TAMILA MULTIBRANDED CAR SERVICE,Salem,India,Unnimaya,General
540,AX1778500074169,KARMA AUTOCARE INDIA PVT LTD,Thrissur,India,Unnimaya,General
541,AX1718339277628,"DONVIC AUTO CENTRE,ABUJA",Nigeria,Nigeria,Sigod,General
542,AX1774872483471,GUJARAT MOTORS,"Amreli,",India,Veeresh,General
543,AX1772346412486,MECHANICAL DOCTORZ,West Delh,India,Veeresh,General
544,AX1769491577450,VANSH MOTORS,Ratlam MP,India,Aniketh,General
545,AX1643626173942,QATAR AUTOWORKS LLC,DOHA,Qatar,Afrah/Shajan,General
546,AX1763810432564,ONE STOP MOTORS,Hyderabad,India,Sashikala,General
547,AX1771309798631,R.K. MOTORS,Telangana,India,Sashikala,General
548,AX1769771296803,PRAGATI MOTORS,"SIRSI , Uttara Kannada",India,Basava,General
549,AX1774341547856,AMIT MOTORS,Haryana,India,Danya,General
550,AX1773982294251,ROSHAN AUTOMOBILE,Sindhudurgnagri,India,Sashikala,General
551,AX1777378687623,AL AMANA THE COMPLETE CAR SOLUTION,KUTTIADI,India,Unnimaya,General
552,AX1771822406168,PEARL EXCLUSIVE,Haryana,India,Danya,General
553,AX1775019541049,ONE STOP MOTORS,Hyderabad,India,Sashikala,General
554,AX1747112062514,AUTOCRAFT,Aluva,India,Unnimaya,General
555,AX1750395600173,SRI GANESH MOTORS,Nizamabad,India,Sashikala,General
556,AX1721107465476,GM CAR SERVICE,Chennai,India,Unnimaya,General
557,AX1716361405587,DRIVE DATA RECOVERY LIMITED,Lusaka,Zambia,Sigod,General
558,AX1756202948666,NANDHA MOTORS,Udumalpet,India,Unnimaya,General
559,AX1773219308197,CARECAY PVT LTD,Ahmedabad,India,Veeresh,General
560,AX1749195669071,VGS MOTORS,Tanaku,India,Sashikala,General
561,AX1778577675744,SUNRISE AUTO WORKSHOP,UAE,United Arab Emirates,Afrah/Shajan,General
562,AX1774852942773,PRAMUKH AUTO SERVICES,"Yajpur, Gir Somnath",India,Veeresh,General
563,AX1776849884139,OM AUTOCRAFT,Gujarat,India,#N/A,General
564,AX1778657074645,STARLINE AUTO SERVICES LLC,SULTANATE OF OMAN,Oman,Sigod,General
565,AX1754992592392,TRISTAR AUTOMOBILES,"Rangareddy District, Hyderabad",India,Sashikala,General
566,AX1751523814893,GV CAR XPERTS,Nellore District,India,Sashikala,General
567,AX1777020555169,FORTUNATO MOTORS,Hyderabad,India,Sashikala,General
568,AX1722255159231,ONE STOP AUTO HUB,Junagadh,India,Veeresh,General
569,AX1779702703521,HANSWAHINI AUTO CARE,Barasadi,India,Veeresh,General
570,AX1747807435702,VELOMOTIVE SOLUTIONS PRIVATE LIMITED,Hyderabad,India,Sashikala,General
571,AX1756707274251,ROCK FORT CAR CARE,Karnataka,India,Sashikala,General
572,AX1726146181996,ARJHIRA MOTORS,Sangola,India,Sashikala,General
573,AX1721111343131,MN AUTOMOBILES,Dist. Navsari,India,Veeresh,General
574,AX1749705435031,A TO Z CAR CARE,"Gujarat,",India,Veeresh,General
575,AX1755593963451,GANESH AUTOMOBILE,Gurgaon,India,Danya,General
576,AX1758708735765,DEFINITIVE DETAILING,Pune,India,Sashikala,General
577,AX1757566177771,ROBIN MOTORS,Haryana,India,Danya,General
578,AX1719835724785,HALYAZ ENTERPRISES LIMITED,Tanzania,Tanzania,Sigod,General
579,AX1761827812519,JDH CAR CARE AND SPARES,Kozhikode,India,Unnimaya,General
580,AX1757074866515,ONE STOP CAR SERVICE,Hyderabad,India,Sashikala,General
581,AX1754026803627,PATELS CAR CARE,Gujarat,India,Aniketh,General
582,AX1721111490836,BHAGIRATH AUTOMOBILES PREMIUM,Gwalior,India,Veeresh,General
583,AX1753262659891,CAR SHAPERS,Zirakpur,India,Veeresh,General
584,AX1754980439154,SCARS (SAHANYA CAPTIVATING AUTOMOTIVE REPAIR SERVICES PRIVATE LIMITED),Telangana,India,Sashikala,General
585,AX1721710345263,SUKOVE MOTORS,Gauribidanur,India,Basava,General
586,AX1776318624451,VALUEPLUS AUTO SERVICE,Quezon City,Philippines,Afrah/Shajan,General
587,AX1760071694979,SMART MOTORS LTD,Zambia,Zambia,Sigod,General
588,AX1767089482624,RAMPUR PREMIER MOTORS,Rampur,India,Aniketh,General
589,AX1733120483568,MAA VINDHYAVASINI MOTORS,BHADOHI,India,Aniketh,General
590,AX1728880162194,AADHAVAN AUTOMOTIVES.,Erode,India,Unnimaya,General
591,AX1760346543020,PINES AUTO SERVICES,Kuala Belait,Brunei,Sigod,General
592,AX1752728189164,FORTUNE AUTO BODY SHOP,Kozhikode,India,Unnimaya,General
593,AX1766211164727,AZAD MOTORS,Madhya Pradesh,India,Veeresh,General
594,AX1740633250300,VIVA MACHINERY COMPONENTS,Zambia,Zambia,Sigod,General
595,AX1758111749298,DEV CAR CARE,Sonepat,India,Danya,General
596,AX1764584234089,GOBYK KPHB,Hyderabad,India,Basava,General
597,AX1730192327147,WALRUS ENGINEERING,Chennai,India,Unnimaya,General
598,AX1762851357192,ARPANNAA APEX ALLIANCE PVT. LTD,Mumbai,India,Sashikala,General
599,AX1733221046812,BHANVI MOTORS,Ghaziabad,India,Aniketh,General
600,AX1727769028795,RLS MOTORS,"Ghatkesar, Medchal (Malkajgiri)",India,Sashikala,General
601,AX1767098983870,SWADI AUTOMOBILES,Mumbai,India,Sashikala,General
602,AX1757583682429,A B AUTOLINE,Pune,India,Sashikala,General
603,AX1754719401178,AV MOTORS & JANGRA BATTERIES,North West Delhi,India,Rakesh,General
604,AX1723445023967,A S WORKSHOP,Gwalior,India,Veeresh,General
605,AX1732083995458,AUTOLOGIX PVT LTD,Industrial Area Site -4,India,Aniketh,General
606,AX1768826310408,NEW SHREE AUTO WORKS,VASHI,India,Sashikala,General
607,AX1767936846749,OM MOTORS,Bidar,India,Basava,General
608,AX1758776896243,JAY BAJRANG AUTOMOBILES,Gujarat,India,Aniketh,General
609,AX1776840339199,AUTO HEALTH CARE SERVICES,Nashik,India,Sashikala,General
610,AX1757999884895,NEW EXPERT CAR SERVICE,Bangalore,India,Basava,General
611,AX1748500173466,PRIDE EXCLUSIVE LLP,Sanga Reddy District,India,Sashikala,General
612,AX1779430718181,GARAGE REDDY CAR REPAIR COMPANY,Al-ahmadi,Kuwait,Sigod,General
613,AX1732856683716,PALACE OF WHEELS SERVICES LLP,Jaipur,India,Aniketh,General
614,AX1764591051275,VIGHNESHWARA CAR CARE,Bangalore,India,Veeresh,General
615,AX1731652883988,JMS AUTOMOBILES,Ghaziabad,India,Aniketh,General
616,AX1765279160448,FASTECH AUTOSERVICE,"Parganas,",India,Veeresh,General
617,AX1765443284092,FAST FIX AUTO,Cambodia,Cambodia,Sigod,General
618,AX1764671990407,SRI GANESH MOTORS,Nizamabad,India,Sashikala,General
619,AX1775133254212,EUROPEAN MOTOR WORKS PVT LTD,Gurugram,India,Sashikala,General
620,AX1764307036851,AMAN SERVICE CENTER,KORBA,India,Veeresh,General
621,AX1765279332318,LAXMI AUTO CENTRE,Chaibasa,India,Veeresh,General
622,AX1767089795256,GERMAN AUTOCRAFT,ERNAKULAM,India,Unnimaya,General
623,AX1767330816787,AMRITA AUTO TECH,Patna,India,Aniketh,General
624,AX1730457485253,UMANG MOTORS,Surat,India,Aniketh,General
625,AX1667295923055,AUTOMOBILES GARAGE,Singapore,Singapore,Sigod,General
626,AX1731492918487,KAMERKAR AUTOMOBILES,Raigad,India,Sashikala,General
627,AX1768286729509,BHARATH GROUP OF INDUSTRIES,Guntur,India,Sashikala,General
628,AX1731303864477,VINAYAKA CARS HUB,Hyderabad,India,Sashikala,General
629,AX1761109584001,OM SAI CAR CARE,BULDHANA,India,Sashikala,General
630,AX1769059145640,INDIAN AUTO SERVICING CENTER,Hyderabad,India,Sashikala,General
631,AX1772538353199,SRINIDHI MOTOR WORKS,Mangalore,India,Veeresh,General
632,AX1763966970288,SPARK AUTOMOTIVE,Pune,India,Sashikala,General
633,AX1758948389595,PERFECT SHINE MOTOR,"SOUTH DELHI,",India,Rakesh,General
634,AX1770873232609,M/S.MOTORLYFE AUTOMOTIVE,Bengaluru,India,Basava,General
635,AX1734325087452,DELIGHT AUTO SERVICE,BENGALURU,India,Basava,General
636,AX1765956991729,VAKRATUND TYRES,Pune,India,Sashikala,General
637,AX1767088502018,SUPREME AUTO GARAGE LTD,Tabora,Tanzania,Afrah/Shajan,General
638,AX1767617472721,P M CARS PRIVATE LIMITED,Ballari,India,Sashikala,General
639,AX1766812639992,PREMIUM CLASSICS CAR CARE,Malappuram,India,Unnimaya,General
640,AX1748519279016,NEW CAR CARE,Miryalaguda,India,Sashikala,General
641,AX1766395144770,UNIQUE AUTOMOBILES INDIA PRIVATE LTD,Kolhapur,India,Sashikala,General
642,AX1768217666417,READY START AUTOMOTIVES,Chennai,India,Unnimaya,General
643,AX1738041891170,AUTO SERV,Goa,India,Veeresh,General
644,AX1772010363158,SUSHEELA AUTO GARAGE,Kannur,India,Unnimaya,General
645,AX1769590173526,KESAR EARTH SOLUTIONS,Raipur,India,Veeresh,General
646,AX1774499731354,MOTOTEK AUTOMOTIVE PRIVATE LIMITED,"Kozhikode,",India,Unnimaya,General
647,AX1769496373299,KUMAR MOTORS,JHUNJHUNU,India,Aniketh,General
648,AX1748847619851,CLUTCH MOTORCYCLES,Dubai,United Arab Emirates,Afrah/Shajan,General
649,AX1774353420719,KARTRENZ,"Malkajgiri,",India,Sashikala,General
650,AX1772085732090,KAPIL CAR ZONE,Nellore,India,Sashikala,General
651,AX1754370394484,PATEL'S CAR MOTORS,Sangareddy Dist.,India,Sashikala,General
652,AX1774957249049,CAR CARE EXPERTS PVT LTD,Pune,India,Sashikala,General
653,AX1710914135620,MARUTI AUTOMOTIVES,Hyderabad,India,Sashikala,General
654,AX1773033487143,THE TYRE THERAPY,Bangalore,India,Basava,General
655,AX1769060310378,GOCARCLINIC,Thane,India,Sashikala,General
656,AX1779972477707,SIDDHESHWAR AUTO HUB THE MULTIBRAND CAR WORKSHOP,Gujarat,India,Aniketh,General
657,AX1773120889851,TRIPURA MOTOR’S,Banswara,India,Aniketh,General
658,AX1776054868275,SYNERGIST AUTO SERVICES,Philippines,Philippines,Sigod,General
659,AX1773118958347,KESAVAN AUTOMOBILES,Nellore,India,Sashikala,General
660,AX1774862755562,SAD ALRAFISA,UAE,United Arab Emirates,Sigod,General
661,AX1767593854569,SM CARZ,Ahmedabad,India,Aniketh,General
662,AX1774873919583,GOLDEN CARE CAR SERVICE,Saudi Arabia,Saudi Arabia,Sigod,General
663,AX1777549450807,WELCOME MOTORS,"Haryana,",India,Danya,General
664,AX1749201627215,TRINITY COSMETIQUE,Pune,India,Sashikala,General
665,AX1775214672521,JUST AUTO SPARES AND SERVICES,MADIPAKKAM,India,Unnimaya,General
666,AX1744865824479,SS AUTOMOTIVES,HYDERABAD,India,Sashikala,General
667,AX1779857403269,AASK AUTOMOBILES,Pune,India,Sashikala,General
668,AX1767249733130,SPEED MOTORS,Hosur,India,Unnimaya,General
669,AX1780129565437,ELITE CAR CARE,Guntur,India,Sashikala,General
670,AX1721129495469,MARUTTI SERVICE CENTRE,Haryana,India,Veeresh,General
671,AX1724045643078,LAXMI AUTOMOTIVES,Adilabad,India,Sashikala,General
672,AX1749445485095,MANKU AUTOMOBILE,New Delhi,India,Rakesh,General
673,AX1757398859358,NEXT GEN AUTOMOTIVE,Haryana,India,Veeresh,General
674,AX1752666925141,CAR CARE WELL,Hosur,India,Unnimaya,General
